X,Y,OBJECTID,ATT_ID,PROGRAM_CO,PARTNER_CO,AT_CODE,ACTIVITY_S,ACTIVITY_D,ACTIVITY_C,LOCATION_C,USAID_CONT,START_DATE,PLANNED_CO,ACTUAL_COM,TOTAL_COST,PERCENT_CO,MALE_BENEF,FEMALE_BEN,MALE_BEN_1,FEMALE_B_1,DATE_TIME_,INPUTTING_,DATE_TIME1,LAST_MODIF,LOCATION_N,GOV_NAME,WBG_CODE,LAST_ON_SI,PLANNED__1,PARTNER_RE,PERMANENT_,PERMANENT1,SubPartner,RECIPIENT,SLOT,Low_FY,High_FY,Number_of_,Temporary_,Temporary1,Male_Ben_2,Female_B_2,Male_Ben_3,Female_B_3,Male_Ben_4,Female_B_4,Temporar_1,Temporar_2,Male_Ben_5,Female_B_5,Male_Ben_6,Female_B_6,Male_Ben_7,Female_B_7,Program__1,Program__2,Total_Co_1,Other_Cont,Location_L,Coordinate,Xcoord,Ycoord,Certifying,Last_Date_,SO_Code,SO_Name,Office,Office_Nam,AT_NAME,AT_SHORT_N,SUBSECTOR_,SUBSECTOR1,SECTOR_COD,SECTOR_NAM,PARTNER_NA,Program_Na,Program_Ty,Program_St,PE_Code,PE_Name,Activity_1,Activity_2,Region_Cod,Region_Nam,PA_Code,PA_Name,Objective_,Objective1,Objectiv_1,Number_of1,Recipient_,Recipient1,Recipien_1,Subpartn_1
3900261.585499998182058,3697627.852099999785,17060,20157,INP II,BV-SPC,W049,Completed,"Under TO#45, Dura Cluster Water Storage and Distribution System, this activity covers the installation of Dura Transmission Pipeline. Installation of 12 kilometers of new main water transmission pipelines from Abu Hilala to the Kharsa, Surra, Al Dahiriya",,502840,3309980,2011/04/12,2012/07/05,2012/07/04,3064371,100,14581,14195,14581,14195,2011/07/25,INPIIU2,2016/02/17,staintor,Dura,Hebron,WB,2012/04/03,2012/07/05,,0,0,SAK,Dahriya,-1,FY11,FY12,2,49,6795,6888,6706,2301,2240,5392,5249,0,0,6888,6706,2301,2240,5392,5249,1-1,Water / Wastewater,3309980,0,Village,GPS,35.03664594,31.49825763,staintor,2016/02/17,SO14,Access to Better Quality Water and Other Infrastructure,WRI,Water Resources and Infrastructure,"Cons/rehab. water wells, reservoirs, pump stations, transmission networks","Cons/rehab. water wells, reservoirs, pump stations, large networks",Water,Water,Water_w,Water_WasteWater,Black and Veatch Special Projects Corp.,Engineering and Construction Management,Regular,Active,3.1.8,Water Supply and Sanitation,CON,Construction/Rehab.,WB,West Bank,3.1,Health,3,Investing in People,IIP,5,Adh Dahiriya Municipality,L.gov,Local gov./municipal,Saqqa and Khoudary Co Ltd
3948313.6171,3744737.457299999893,192403,26099,INP II,BV-SPC,A042,Cancelled,"The Jericho Collection System  Expansion - Phase - 1A Branch Sewers project will be constructed in Jericho City, on the West Bank site of the Jordan River Valley. The project will expand the sewer service to cover high density priority  locations within",,351920,4449992,2014/11/07,2015/10/03,,11,0,0,0,5000,5000,2014/11/29,RamiWRI,2015/12/08,INPIIU2,Jericho (Ariha),Jericho,WB,2015/01/13,2015/10/03,,0,0,,Maiyya,0,FY15,FY16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1-1,Water / Wastewater,4449992,0,Village,Automatic,0.00000000,0.00000000,staintor,2015/08/07,SO14,Access to Better Quality Water and Other Infrastructure,WRI,Water Resources and Infrastructure,Construction / renovation of small scale waste water systems,Construction / renovation of small scale waste water systems,Wastewater,Wastewater,Water_w,Water_WasteWater,Black and Veatch Special Projects Corp.,Engineering and Construction Management,Regular,Active,3.1.8,Water Supply and Sanitation,CON,Construction/Rehab.,WB,West Bank,3.1,Health,3,Investing in People,IIP,0,Khallet al Maiyya village council,L.gov,Local gov./municipal,
3898374.949099998921156,3695463.731399998069,17061,20158,INP II,BV-SPC,W044,Completed,"Kharsa Network, Under Task Order #45, Dura Cluster Water Storage and Distribution System, activity represents the construction of approximately 34 kilometers of distribution networks for villages in the Kharsa area including 267 house connections.",test certification,502840,3385208,2011/04/12,2012/07/05,2012/07/04,2954176,100,3039,2806,3039,2806,2011/07/25,INPIIU2,2015/12/08,INPIIU2,Dura,Hebron,WB,2011/08/09,2012/07/05,,0,0,SAK,Khursa,-1,FY11,FY12,2,63,9082,1436,1326,480,443,1123,1037,0,0,1436,1326,480,443,1123,1037,NA,Roads,3385208,0,Village,GPS,35.01969800,31.48168000,staintor,2014/11/03,SO14,Access to Better Quality Water and Other Infrastructure,WRI,Water Resources and Infrastructure,"Construction/rehabilitation of local water/distribution networks, reservoirs, cisterns, springs, etc","Const/rehab of local water networks, reservoirs, cisterns, springs",Water,Water,Water_w,Water_WasteWater,Black and Veatch Special Projects Corp.,Engineering and Construction Management,Regular,Active,3.1.8,Water Supply and Sanitation,CON,Construction/Rehab.,WB,West Bank,3.1,Health,3,Investing in People,IIP,4,Khursa Village Council,L.gov,Local gov./municipal,Saqqa and Khoudary Co Ltd
3898446.7331,3695836.53559999913,17062,20159,INP II,BV-SPC,W044,Completed,"Khursa Reservoir, under Task Order #45, Dura Cluster Water Storage and Distribution System; activity includes construction of a new 500 cubic meter elevated reinforced concrete water reservoir. Note: Beneficiaries included in Kharsa Network Activity.",Note: Beneficiaries included in Kharsa Network Activity.,502895,590178,2011/04/12,2012/07/05,2012/07/04,587055,100,0,0,0,0,2011/07/25,INPIIU2,2012/09/02,INPIIU2,Khursa,Hebron,WB,2011/10/13,2012/07/05,,0,0,SAK,Khursa,-1,FY11,FY12,2,26,4368,0,0,0,0,0,0,10,2200,0,0,0,0,0,0,NA,Roads,590178,0,Village,GPS,35.02034284,31.48453597,TEDEAS,2013/03/01,SO14,Access to Better Quality Water and Other Infrastructure,WRI,Water Resources and Infrastructure,"Construction/rehabilitation of local water/distribution networks, reservoirs, cisterns, springs, etc","Const/rehab of local water networks, reservoirs, cisterns, springs",Water,Water,Water_w,Water_WasteWater,Black and Veatch Special Projects Corp.,Engineering and Construction Management,Regular,Active,3.1.8,Water Supply and Sanitation,CON,Construction/Rehab.,WB,West Bank,3.1,Health,3,Investing in People,IIP,4,Khursa Village Council,L.gov,Local gov./municipal,Saqqa and Khoudary Co Ltd
3896068.409200001507998,3694033.04280000180006,17063,20160,INP II,BV-SPC,W044,Completed,"Surra Network, under Task Order #45, Dura Cluster Water Storage and Distribution System, activity includes construction of approximately 48 kilometers of distribution networks for villages in the Surra area including 1145 House Connections.",,502840,3065259,2011/04/12,2012/07/05,2012/07/04,3067588,100,2617,2514,2617,2514,2011/07/25,INPIIU2,2015/12/08,INPIIU2,Dura,Hebron,WB,2011/08/09,2012/07/05,,0,0,SAK,,-1,FY11,FY12,2,71,10474,1236,1188,413,397,968,929,0,0,1236,1188,413,397,968,929,NA,Roads,3065259,0,Village,GPS,34.99897800,31.47071900,staintor,2014/11/03,SO14,Access to Better Quality Water and Other Infrastructure,WRI,Water Resources and Infrastructure,"Construction/rehabilitation of local water/distribution networks, reservoirs, cisterns, springs, etc","Const/rehab of local water networks, reservoirs, cisterns, springs",Water,Water,Water_w,Water_WasteWater,Black and Veatch Special Projects Corp.,Engineering and Construction Management,Regular,Active,3.1.8,Water Supply and Sanitation,CON,Construction/Rehab.,WB,West Bank,3.1,Health,3,Investing in People,IIP,5,,,,Saqqa and Khoudary Co Ltd
3895914.412999998778105,3693933.821599997580051,17064,20161,INP II,BV-SPC,W044,Completed,"SurraReservoir, under Task Order #45, Dura Cluster Water Storage and Distribution System; activity includes construction of a new 500 cubic meter elevated reinforced concrete water reservoir. Note: Beneficiaries included in Surra Network Activity.",Note: Beneficiaries included in Surra Network Activity.,502950,567649,2011/04/12,2012/07/05,2012/07/04,564728,100,0,0,0,0,2011/07/25,INPIIU2,2012/09/02,INPIIU2,As Sura,Hebron,WB,2011/10/13,2012/07/05,,0,0,SAK,,-1,FY11,FY12,2,33,5025,0,0,0,0,0,0,10,2700,0,0,0,0,0,0,NA,Roads,567649,0,Village,GPS,34.99759462,31.46995878,TEDEAS,2013/03/01,SO14,Access to Better Quality Water and Other Infrastructure,WRI,Water Resources and Infrastructure,"Construction/rehabilitation of local water/distribution networks, reservoirs, cisterns, springs, etc","Const/rehab of local water networks, reservoirs, cisterns, springs",Water,Water,Water_w,Water_WasteWater,Black and Veatch Special Projects Corp.,Engineering and Construction Management,Regular,Active,3.1.8,Water Supply and Sanitation,CON,Construction/Rehab.,WB,West Bank,3.1,Health,3,Investing in People,IIP,5,,,,Saqqa and Khoudary Co Ltd
3895902.1444,3693917.460299998521805,17065,20162,INP II,BV-SPC,W049,Completed,"Dahiriya Reservoir, under Task Order #45, Dura Cluster Water Storage and Distribution System; activity includes construction of a new 3000 cubic meter elevated reinforced concrete water reservoir. Note: Beneficiaries included in Dura Transmission Pipelin",Note: Beneficiaries included in Dura Transmission Pipeline Activity.,503135,882649,2011/04/12,2012/07/05,2012/07/04,793461,100,0,0,0,0,2011/07/25,INPIIU2,2012/09/02,INPIIU2,Kurza,Hebron,WB,2011/10/13,2012/07/05,,0,0,SAK,Kurza,-1,FY11,FY12,2,32,5198,0,0,0,0,0,0,12,4500,0,0,0,0,0,0,NA,Roads,882649,0,Village,GPS,34.99748441,31.46983342,TEDEAS,2013/03/01,SO14,Access to Better Quality Water and Other Infrastructure,WRI,Water Resources and Infrastructure,"Cons/rehab. water wells, reservoirs, pump stations, transmission networks","Cons/rehab. water wells, reservoirs, pump stations, large networks",Water,Water,Water_w,Water_WasteWater,Black and Veatch Special Projects Corp.,Engineering and Construction Management,Regular,Active,3.1.8,Water Supply and Sanitation,CON,Construction/Rehab.,WB,West Bank,3.1,Health,3,Investing in People,IIP,4,Kurza Village council,L.gov,Local gov./municipal,Saqqa and Khoudary Co Ltd
3896248.621399998664856,3689991.716300003230572,17066,20163,INP II,BV-SPC,W044,Completed,"Kurza Network, Under Task Order #45, Dura Cluster Water Storage and Distribution System, activity represents the construction of approximately 10 kilometers of distribution networks for villages in the Kharsa area including 258 house connections.",,503135,590728,2011/04/12,2012/07/05,2012/07/04,860273,100,1972,1894,1972,1894,2011/07/25,INPIIU2,2015/12/08,INPIIU2,Kurza,Hebron,WB,2011/07/26,2012/07/05,,0,0,SAK,Kurza,-1,FY11,FY12,2,12,2231,931,895,311,299,729,701,25,1200,931,895,311,299,729,701,NA,Roads,590728,0,Village,GPS,35.00059687,31.43975006,TEDEAS,2013/03/01,SO14,Access to Better Quality Water and Other Infrastructure,WRI,Water Resources and Infrastructure,"Construction/rehabilitation of local water/distribution networks, reservoirs, cisterns, springs, etc","Const/rehab of local water networks, reservoirs, cisterns, springs",Water,Water,Water_w,Water_WasteWater,Black and Veatch Special Projects Corp.,Engineering and Construction Management,Regular,Active,3.1.8,Water Supply and Sanitation,CON,Construction/Rehab.,WB,West Bank,3.1,Health,3,Investing in People,IIP,4,Kurza Village council,L.gov,Local gov./municipal,Saqqa and Khoudary Co Ltd
3936732.38060000166297,3769813.108199998736382,19156,22261,INP II,BV-SPC,W097,On Going,"B&V Provides services related to feasibility studies, master planning, conceptual designs, environmental studies, project reports, technical training, capacity building, specifications for commodities/equipment procurement, final designs, preparation of","ROADS, WATER and WASTE WATER SECTORS COVERED. No beneficiaries/Job Days are reported as they are accounted for under the PMP Matrix and Construction Activities.",CLU001,92372359,2010/10/01,2015/09/30,,48189017,40,0,0,1,0,2012/10/23,INPIIU2,2014/11/03,staintor,West Bank,West Bank,WB,,2014/03/31,BV TO #1,0,0,,,527,FY11,FY15,5,4,4,0,0,0,0,0,0,4,4,0,0,0,0,0,0,Other,Other Infrastructure,92372359,0,Region,Automatic,0.00000000,0.00000000,staintor,2014/11/03,SO14,Access to Better Quality Water and Other Infrastructure,WRI,Water Resources and Infrastructure,"Construction related work(Engineering, design, studies, management, internships)","Construction related work(Engineering, design, studies, management, internships)",Design,"Design, study, intership",Infrastruct,Other-infrastructure,Black and Veatch Special Projects Corp.,Engineering and Construction Management,Regular,Active,4.4.4,Program Design and Learning (Infrastructure),CON,Construction/Rehab.,WB,West Bank,4.4,Infrastructure,4,Economic Growth,EG,0,,,,
3924931.082400001585484,3782688.684,119203,25017,INP II,BV-SPC,A051,On Going,"Huwarah - Nablus Main Road: This RFTOP is conducted under the High Impact Micro-Infrastructure Initiative (HIMII). The RFTOP was released on March 7th 2014, and the award date is still pending. It will be implemented under the Indefinite Quantity Contrac",,151185,1,2014/03/07,2014/12/31,,1,0,0,0,0,0,2014/04/03,INPIIU2,2014/11/03,staintor,Huwwara,Nablus,WB,,2014/08/01,HIMII,0,0,,,-1,FY14,FY15,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Other,Other Infrastructure,1,0,Village,Pointing,35.25825580,32.14750592,staintor,2014/11/03,SO14,Access to Better Quality Water and Other Infrastructure,WRI,Water Resources and Infrastructure,"Construction / improvement of regional, main and local roads but not agricultural.","Construction / improvement of (regional, main and and local) roads",Roads,Roads,Transport,"Roads, bridges, rail, etc",Black and Veatch Special Projects Corp.,Engineering and Construction Management,Regular,Active,4.4.3,Transport Services,CON,Construction/Rehab.,WB,West Bank,4.4,Infrastructure,4,Economic Growth,EG,0,,,,
